Type,Input1,Input2,Input3,F1,F2,F3,F4,F5,F6,Target
patient 1,500,0,0,0.13,0.97,0.26,2.14,7.57,-1.65,0
patient 1,553,0,0,0.13,0.98,0.26,2.14,7.69,-1.53,0
patient 1,563,0,0,0.12,0.99,0.25,1.89,6.71,-1.34,0
patient 1,605,0,0,0.07,0.99,0.27,2.75,4.88,-1.83,0
patient 1,646,0,0,0.13,0.97,0.39,4.33,29.48,-5.31,0
patient 1,689,0,0,-0.01,0.87,0.1,0.06,40.59,-3.85,0
patient 1,733,0,0,0.08,1.01,0.28,-4.52,41.81,-3.91,0
patient 1,776,0,0,0.12,0.98,0.34,-12.39,26.49,-3.97,0
patient 1,821,0,0,0.07,1,0.18,-10.74,20.94,-2.87,0
patient 1,866,0,0,0.12,0.94,0.27,-6.04,2.14,-1.95,0
patient 1,908,0,0,0.08,0.98,0.25,0.06,-9.95,0.24,0
patient 1,950,0,0,0.1,1,0.26,7.87,-8.06,0.06,0
patient 1,992,0,0,0.1,0.99,0.3,9.16,-19.41,-0.55,0
patient 1,1035,0,0,0.09,0.99,0.33,12.7,-17.4,0.12,0
patient 1,1080,0,0,0.06,0.98,0.33,7.75,-23.8,2.44,0
patient 1,1123,0,0,0.07,0.97,0.34,2.99,-28.26,2.08,0
patient 1,1167,0,0,0.06,0.98,0.33,-4.64,-23.19,2.75,0
patient 1,1212,0,0,0.09,0.95,0.37,-12.02,-39.43,0.67,0
patient 1,1258,0,0,0.1,0.95,0.35,-13.43,-25.21,1.46,0
patient 1,1303,0,0,0.1,0.93,0.31,-15.69,-23.13,1.83,0
patient 1,1349,0,0,0.14,0.89,0.33,-15.44,-21.06,1.89,0
patient 1,1395,0,0,0.11,0.91,0.29,-13.49,-13.12,1.89,0
patient 1,1440,0,0,0.13,0.88,0.31,-6.96,4.27,-1.16,0
patient 1,1484,0,0,0.1,0.93,0.22,3.42,23.93,-3.17,0
patient 1,1528,0,0,0.08,0.94,0.17,13.98,23.32,-5.98,0
patient 1,1572,0,0,0.09,0.96,0.11,22.16,31.31,-10.56,0
patient 1,1618,114,813,0.13,1.07,-0.09,34.85,28.32,-6.77,0
patient 1,1669,165,875,0.05,1.11,0.72,17.94,-27.4,-7.51,0
patient 1,1718,327,899,0.2,0.91,-0.26,67.44,74.95,-12.45,0
