Type,Input1,Input2,Input3,F1,F2,F3,F4,F5,F6,Target
person 1,1.546,582,911,0.14,1.23,-0.21,57.31,-20.02,-25.94,1
person 1,555,580,911,0,1.29,-0.22,60.61,-19.1,-28.99,1
person 1,582,559,911,0.04,1.37,-0.04,61.34,-35.77,-7.75,1
person 1,632,550,913,0.03,1.04,-0.06,43.27,-17.76,-11.23,1
person 1,684,552,913,0.04,1.02,0.05,34.12,0.43,-4.76,1
person 1,731,552,913,-0.02,1,-0.01,21.55,-4.46,-3.05,1
person 1,780,552,912,0.01,1.02,-0.05,21.91,13,-2.26,1
person 1,829,553,914,0.01,1,0.01,23.19,3.6,-1.28,1
person 1,876,553,914,0,1,-0.06,30.27,5,0.73,1
person 1,922,553,913,0.04,1.01,0,36.8,5.68,-0.67,1
person 1,969,554,913,-0.02,0.97,-0.13,45.65,6.47,0.55,1
person 1,1017,554,913,0,1,-0.1,44.86,7.93,2.08,1
person 1,1065,555,912,-0.03,1,-0.17,52.06,11.9,4.21,1
person 1,1115,556,909,0.03,1.01,-0.28,54.81,4.39,5.98,1
person 1,1163,556,898,0.08,1.1,-0.21,44.19,10.86,9.28,1
person 1,1212,555,869,0.18,1.25,-0.17,55.24,-0.67,12.57,1
person 1,1262,553,358,0.35,1.88,0.19,112.12,-3.97,7.81,1
person 1,1310,584,130,0.03,1.43,0.2,119.02,-22.58,10.13,1
person 1,1361,594,0,-0.31,0.6,-0.59,82.89,-1.65,21.79,1
person 1,1411,561,885,-0.15,0.66,-0.43,27.83,6.29,29.3,1
person 1,1461,523,867,-0.13,0.74,-0.12,-8.85,-27.59,23.8,1
person 1,1512,495,849,0.06,0.76,-0.09,-68.79,6.84,9.34,1
person 1,1561,468,837,0.02,0.88,-0.18,-104.98,8.36,-1.77,1
person 1,1612,439,724,0.09,0.98,-0.2,-144.1,14.1,-13.06,1
person 1,1666,454,0,0.17,0.99,-0.14,-170.53,19.23,-14.89,1
person 1,1716,477,0,0.15,1.15,-0.24,-177.73,29.97,-10.44,1
person 1,1767,480,0,0.14,1.12,-0.25,-179.14,14.71,-8.48,1
person 1,1817,482,0,0.19,1.13,-0.16,-155.09,36.5,-0.37,1
person 1,1867,479,0,0.1,1.14,-0.42,-112.92,46.33,-6.96,1
person 1,1916,429,0,0.15,1,-0.39,-48.34,28.81,-4.94,1
person 1,1966,385,841,0.17,0.87,-0.49,17.21,-22.83,-5.31,1
person 1,2017,287,891,-0.12,1.74,2.12,-10.07,-153.69,-13.18,1
person 1,2071,526,910,0.04,1.01,-0.34,98.21,34.85,-2.62,1
person 1,2120,585,914,-0.05,1.03,0.14,58.78,-41.69,-21.24,1
person 1,2172,589,915,-0.02,1.04,0.06,71.11,14.16,-2.56,1
person 1,2223,587,915,-0.02,1.07,-0.07,47.36,-7.02,1.28,1
person 1,2273,584,915,0.07,1.03,0.09,29.05,-6.16,1.22,1
person 1,2320,585,916,0,1.01,0.03,24.05,-3.23,2.32,1
person 1,2369,585,915,0,0.99,0.08,24.9,1.59,3.85,1
person 1,2416,580,916,-0.02,1,0.02,31.25,-5.8,4.58,1
person 1,2465,573,917,-0.01,1,-0.02,35.03,-10.5,7.39,1
person 1,2515,567,916,0.06,1,0.04,45.41,-16.91,5.55,1
person 1,2565,564,916,0.06,0.98,-0.02,54.63,-4.27,3.48,1
person 1,2614,563,916,0.06,0.95,-0.1,58.41,-5.19,1.95,1
person 1,2663,563,912,0.05,1.08,-0.14,77.39,-4.52,2.56,1
person 1,2711,564,883,0.12,1.13,-0.21,73.85,6.1,5.92,1
person 1,2759,561,838,0.13,1.7,-0.06,88.44,-3.66,12.63,1
person 1,2809,580,97,0.14,1.93,0.3,127.69,-12.08,21.91,1
person 1,2860,609,0,-0.1,0.83,-0.41,123.84,52.92,20.81,1
person 1,2909,589,818,-0.16,0.83,-0.4,47.97,-8.3,22.64,1
person 1,2960,550,865,-0.02,0.59,-0.07,12.27,-23.8,21.97,1
person 1,3012,560,861,0.09,0.71,0.01,-62.87,-22.95,5.8,1
person 1,3062,572,855,-0.14,0.85,-0.36,-117,-31.43,-14.71,1
person 1,3117,583,161,0.24,0.84,-0.01,-171.02,-3.05,-14.65,1
person 1,3170,584,0,0.02,1.24,-0.55,-186.22,36.99,0.24,1
person 1,3219,583,0,0.13,1.15,-0.34,-187.81,10.07,2.75,1
person 1,3268,588,0,0.18,1.09,-0.1,-181.4,7.2,11.54,1
person 1,3316,586,0,0.16,1.14,-0.54,-144.78,32.96,11.11,1
person 1,3366,583,0,0.08,1.04,-0.41,-91.86,-17.15,6.04,1
person 1,3416,571,0,0.09,1.02,-0.46,-23.32,-0.24,-0.67,1
person 1,3465,393,870,0.14,0.9,-0.41,38.15,4.7,-7.26,1
person 1,3513,290,900,0.26,1.27,2.27,-41.08,-176.27,-21.42,1
person 1,3566,585,909,0.07,0.81,-0.35,78.31,-3.11,-13.55,1
person 1,3617,602,911,0.13,0.97,0.18,66.1,-22.89,-22.52,1
person 1,3668,574,913,0.02,0.96,0.1,63.84,-5.49,-8.54,1
person 1,3717,567,913,0.06,1.05,0.01,47.06,-15.56,-1.71,1
person 1,3767,565,913,0.03,1.03,0,35.89,-5.68,-1.83,1
person 1,3816,565,913,0.02,1.03,0.07,30.94,-7.75,-2.38,1
person 1,3865,566,914,0.01,0.97,0.06,33.51,-5.98,0.43,1
person 1,3912,567,911,0.03,1.01,-0.06,40.77,3.23,0.85,1
person 1,3960,568,913,0.04,1.02,-0.03,42.24,-1.46,0.61,1
person 1,4009,568,913,-0.03,1.03,-0.1,48.03,9.16,2.99,1
person 1,4059,568,912,0.02,1.02,-0.14,50.23,1.22,1.65,1
person 1,4106,568,909,0.05,1.01,-0.14,58.35,9.34,2.01,1
person 1,4154,567,894,0.07,1.07,-0.27,63.66,12.7,4.76,1
person 1,4203,569,865,0.17,1.19,-0.17,68.48,5.62,9.03,1
person 1,4250,574,0,0.17,1.89,0.03,102.54,1.77,16.17,1
person 1,4297,605,311,0.04,1.54,0.38,131.9,-31.74,11.9,1
person 1,4348,611,205,-0.28,0.74,-0.7,98.82,23.56,18.01,1
person 1,4400,584,880,-0.09,0.72,-0.33,38.64,-27.53,18.31,1
person 1,4452,577,869,-0.02,0.72,0.07,-26.43,-39,8.79,1
person 1,4502,580,859,0.05,0.74,-0.06,-78.98,7.69,2.75,1
person 1,4551,583,804,0.1,0.89,-0.17,-118.1,21.97,-4.94,1
person 1,4603,584,510,0.12,0.97,-0.23,-156.98,19.41,-10.86,1
person 1,4657,586,328,0.12,1.08,-0.23,-172.91,26.79,-8.85,1
person 1,4708,588,201,0.18,1.13,-0.31,-176.64,41.69,-10.19,1
person 1,4761,593,121,0.15,1.16,-0.3,-168.88,16.48,-1.1,1
person 1,4813,593,80,0.24,1.16,-0.15,-147.16,31.25,3.85,1
person 1,4864,593,127,0.21,1.05,-0.42,-111.33,29.72,5.98,1
person 1,4914,590,268,0.23,0.88,-0.26,-46.51,-49.44,5.68,1
person 1,4965,572,799,0.13,0.88,-0.09,26.55,-44.43,-3.78,1
person 1,5016,368,879,0.24,1.12,1.41,24.48,-82.76,-3.72,1
person 1,5066,495,903,-0.1,1.58,-1,104.61,161.93,-14.1,1
person 1,5121,596,907,0.06,1.07,0.09,75.81,-21.79,-27.95,1
person 1,5171,589,909,0.04,0.98,0.03,70.8,-16.6,-15.32,1
person 1,5222,576,910,-0.03,1.07,-0.1,52.43,0.79,-4.58,1
person 1,5272,572,911,0.15,1.02,0.09,21.48,-8.85,-5.19,1
person 1,5321,572,911,0.04,1.01,0.06,17.76,-2.2,-3.05,1
person 1,5369,573,909,-0.01,1,0.04,23.07,3.85,-0.92,1
person 1,5419,574,910,0.02,1.01,0.04,26.98,-1.89,1.71,1
person 1,5467,574,910,0.02,1,0.01,28.99,-9.46,2.5,1
